timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2016-02-08 13:04:34.448	41702928	start_recording
2016-02-08 13:04:36.377	41704857	False	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-02-08 13:04:36.410	41704890	False	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-02-08 13:04:36.445	41704925	False	4	1544.8057	501.2594	1278.0239	573.3239	14.63885	0.0	0.0	-71.8962	21281.9883	0.0	0.0	0.0	1544.8057	501.2594	1278.0239	573.3239	29.2777	0.6365	0.4954
2016-02-08 13:04:36.488	41704968	False	7	1485.1239	-1049.2148	1347.8041	30.0559	26.15705	1478.2748	-3865.8616	319.3817	14857.4941	24.2677	0.4497	0.4979	1491.973	1767.432	1350.0968	972.9296	28.0464	0.6377	0.5018
2016-02-08 13:04:36.521	41705001	False	7	1492.8727	-931.8482	1384.9962	-214.7252	26.47015	1517.46	-3536.8806	565.2568	11019.3711	24.5704	0.4514	0.5023	1468.2854	1673.1842	1380.5176	1150.9863	28.3699	0.6388	0.5054
2016-02-08 13:04:36.554	41705034	False	7	1485.5894	-754.9144	1406.1202	-327.6031	26.9181	1508.9491	-3431.4651	1508.9491	-3431.4651	24.8915	0.4518	0.5048	1462.2297	1921.6362	1397.7736	1309.6842	28.9447	0.639	0.5067
2016-02-08 13:04:36.599	41705079	False	7	1488.896	-1071.2798	1488.896	-1071.2798	26.9334	1507.4724	-4019.5742	1507.4724	-4019.5742	24.7581	0.4514	0.5066	1470.3195	1877.0148	1470.3195	1877.0148	29.1087	0.6385	0.5074
2016-02-08 13:04:36.632	41705112	False	7	1500.123	-833.5153	1500.123	-833.5153	27.36165	1507.3435	-3024.5259	1507.4078	-3521.4155	25.3827	0.4504	0.5092	1492.9025	1357.4952	1492.9025	1357.4952	29.3406	0.6375	0.509
2016-02-08 13:04:36.666	41705146	False	7	1492.4897	-723.6698	1496.3016	-778.5225	26.90065	1509.9835	-3054.7581	1508.2701	-3364.3574	25.0907	0.4491	0.5129	1474.996	1607.4185	1483.9377	1482.6162	28.7106	0.6362	0.511
2016-02-08 13:04:36.710	41705190	False	7	1491.9434	-936.7166	1494.8362	-831.3849	26.38665	1512.9766	-3301.5159	1509.4604	-3347.2842	24.4415	0.4483	0.5165	1470.91	1428.0828	1479.5615	1464.5731	28.3318	0.6353	0.5136
